scientific name,common name,depth,bottom temperature,bottom salinity,substrate,strongest predictor variable,Species type,years present,Mean centroid shift (km),Range size (% change),Southern range extent latitude shift (degrees),Northern range extent latitude shift (degrees),spring abundance ,spring abundance (first 5 years ) ,spring abundance (last 5 years ) 
Macrouridae,grenadier uncl,3.54%,0.01%,1.29%,0.16%,depth,demersal,31,44.79,12.96,-0.51,-0.30,14616,31,7690
Macrozoarces Americanus,ocean pout,0.62%,1.89%,0.38%,0.69%,bottom temperature,demersal,33,39.64,-19.28,0.92,0.85,408800,79272,102185
Malacoraja senta,smooth skate,5.32%,0.65%,0.68%,2.36%,depth,demersal,33,8.09,-9.52,0.22,0.25,94447,1427,41112
Maurolicus weitzmani ,weitzmans pearlsides,0.03%,0.02%,0.15%,0.04%,bottom salinity,pelagic,33,, , , ,14855,46,1047
Melanogrammus aeglefinus,haddock,0.01%,0.29%,0.00%,1.70%,substrate,demersal,33,83.42,13.85,-0.35,-0.33,10601433,64480,8129991
Melanostigma Atlanticum,Atlantic soft pout,0.22%,0.02%,0.02%,0.24%,substrate,demersal,33,, , , ,20806,137,743
Menticirrhus Americanus,southern kingfish,0.25%,1.23%,0.15%,0.28%,bottom temperature,demersal,28,77.98, , , ,132247,105,39111
Merluccius albidus,offshore hake,3.84%,0.00%,2.49%,0.28%,depth,demersal,33,237.82,-4.17,-0.84,-0.82,43020,1590,22530
Merluccius bilinearis,silver hake,4.34%,0.19%,2.14%,3.16%,depth,demersal,33,189.27,2.61,1.38,1.22,37898085,543173,17116466
Micropogonias undulatus,Atlantic croaker,0.46%,3.11%,0.95%,0.51%,bottom temperature,demersal,29,185.4, , , ,1330060,122,107269
Morone saxatilis,striped bass,0.06%,0.00%,0.01%,0.05%,depth,demersal,33,271.96, , , ,49814,54,3014
Mustelus canis,smooth dogfish,0.01%,0.04%,0.02%,0.02%,bottom temperature,demersal,33,178.77,-1.75,-0.58,-0.56,1051506,25312,387974
Myliobatis freminvillei,bullnose ray,0.31%,1.58%,0.34%,0.37%,bottom temperature,demersal,20,13.28,96.15,-0.15,0.23,361,78,20
Myoxocephalus aenaeus,grubby,0.01%,0.01%,0.01%,0.18%,substrate,demersal,26,, , , ,2554,92,649
Myoxocephalus octodecemspinosus,longhorn sculpin,0.53%,1.14%,1.06%,2.45%,substrate,demersal,33,25.71,-50.97,0.56,0.49,1486135,95692,351241
Myxine glutinosa,Atlantic hagfish,2.10%,0.38%,0.32%,1.59%,depth,demersal,32,319.49,51.43,0.32,0.34,4980,77,899
Paralepididae ,barracudinas,0.30%,0.00%,0.08%,0.08%,depth,pelagic,28,278.62, , , ,299,116,83
Paralichthys dentatus,summer flounder,1.98%,5.15%,0.24%,1.86%,bottom temperature,benthic,33,69.16,-10.00,2.47,0.53,119972,2506,31211
Paralichthys oblongus,fourspot flounder,0.07%,0.20%,1.33%,1.16%,bottom salinity,demersal,33,76.41,-19.10,0.71,0.73,1170116,77823,270821
Peprilus triacanthus,butterfish,0.02%,0.53%,0.44%,0.67%,substrate,pelagic,33,125.19,18.39,-0.12,-0.01,4665898,200871,1505987
Peristedion miniatum,armored searobin,0.33%,0.07%,0.77%,0.26%,bottom salinity,demersal,29,275.17,-17.65,-0.03,-0.01,4341,346,349
Pollachius virens,pollock,0.28%,0.07%,0.05%,0.66%,substrate,demersal,33,56.15,-20.00,0.12,0.05,266878,33477,78955
Polymixia lowei,beardfish,0.04%,0.02%,0.18%,0.05%,bottom salinity,demersal,30,145.6,1.75,2.46,2.49,20005,660,13858
Pomatomus saltatrix,bluefish,0.50%,1.37%,0.13%,0.10%,bottom temperature,pelagic,31,171.79,36.67,0.61,0.81,14784,938,5696
Prionotus carolinus,northern searobin,0.03%,0.09%,0.08%,0.29%,substrate,demersal,33,22.27,-10.26,0.46,0.40,3021885,256446,1507128
Prionotus evolans,striped searobin,0.02%,0.16%,0.02%,0.14%,bottom temperature,demersal,33,61.34,3.23,1.38,1.40,107926,4180,30755
Pseudopleuronectes Americanus ,winter flounder,1.52%,0.13%,2.18%,3.01%,substrate,benthic,33,45.93, , , ,1236602,78606,468943
Raja eglanteria,clearnose skate,1.87%,1.88%,0.14%,2.74%,substrate,demersal,33,110.73,0.00,0.14,0.16,79307,518,34916
Scomber scombrus,Atlantic mackerel,0.18%,0.16%,0.01%,0.14%,depth,pelagic,33,294.78,-16.16,1.79,1.64,3598547,162809,913320
Scophthalmus aquosus,windowpane,1.71%,0.25%,2.77%,1.64%,bottom salinity,benthic,33,88.51,-10.34,-1.56,-1.36,235506,46066,37596
Scyliorhinus retifer,chain dogfish,1.03%,0.45%,4.85%,1.36%,bottom salinity,demersal,33,41.22,-1.23,-2.25,-2.13,77720,64,39263
Sebastes fasciatus,Acadian redfish,2.03%,0.33%,0.28%,1.50%,depth,demersal,33,41.6,21.88,-0.32,-0.20,4841072,81338,1355654
Sphoeroides maculatus,northern puffer,0.42%,2.43%,1.38%,0.33%,bottom temperature,demersal,19,89.16, , , ,912,503,248
Squalus acanthias,spiny dogfish,0.05%,0.00%,0.04%,0.12%,substrate,demersal,33,41.33,5.21,-1.32,-1.02,19774461,2748504,3839956
Squatina dumeril,Atlantic angel shark,0.18%,1.55%,0.06%,0.61%,bottom temperature,demersal,32,56.3,1.61,-0.49,-0.47,4211,208,1188
Stenotomus chrysops,scup,0.44%,2.19%,0.01%,0.49%,bottom temperature,demersal,33,227.64,-36.36,1.57,1.15,2603276,97653,1133370
Symphurus ,straightmouth tonguefishes,0.10%,0.00%,0.05%,0.04%,depth,demersal,27,468.27, , , ,2572,72,882
Synagrops bellus,blackmouth bass,0.32%,0.01%,0.39%,0.08%,bottom salinity,demersal,17,4.83, , , ,531,31,28
Synodus foetens,inshore lizardfish,0.64%,5.00%,0.47%,0.68%,bottom temperature,demersal,25,213.25, , , ,7387,1079,2432
Tautogolabrus adspersus,cunner,0.21%,0.01%,0.29%,1.32%,substrate,demersal,33,130.31,-1.67,1.38,1.40,31214,1173,21380
Trachinocephalus myops,snakefish,0.01%,0.18%,0.06%,0.01%,bottom temperature,demersal,23,6.06, , , ,7254,643,2245
Trachurus lathami,rough scad,0.06%,0.54%,0.00%,0.08%,bottom temperature,pelagic,25,397.02, , , ,1035,132,459
Triglops murrayi,moustache sculpin,0.00%,0.01%,0.01%,0.33%,substrate,demersal,30,84.97,-3.51,0.11,0.14,21563,1950,5975
Ulvaria subbifurcata,radiated shanny,0.01%,0.02%,0.00%,0.05%,substrate,demersal,27,125.1,18.97,-0.80,-0.69,4166,3633,31
Urophycis chesteri,longfin hake,2.37%,0.04%,1.16%,0.22%,depth,demersal,33,58.51,14.75,-0.64,-0.43,25176,1226,18029
Urophycis chuss,red hake,2.95%,0.42%,0.67%,3.22%,substrate,demersal,33,91.9,-12.87,0.30,0.23,2799478,124664,1106520
Urophycis regia,spotted hake,0.04%,0.36%,0.40%,2.01%,substrate,demersal,33,109.65,76.54,0.09,0.76,3296518,135924,1022752
Urophycis tenuis,white hake,4.45%,0.49%,2.70%,2.28%,depth,demersal,33,30.07,4.41,0.13,0.16,262084,39385,50998
Zenopsis conchifera,buckler dory,0.15%,0.09%,0.75%,0.14%,bottom salinity,pelagic,32,246.53,-15.49,0.24,0.17,15758,95,8860
