scientific name,common name,depth,bottom temperature,bottom salinity,substrate,strongest predictor variable,Species type,years present,Mean centroid shift (km),Range size (% change),Southern range extent latitude shift (degrees),Northern range extent latitude shift (degrees),fall abundance ,fall abundance (first 5 years ) ,fall abundance (last 5 years ) 
Lophius Americanus,goosefish,5.57%,0.22%,2.21%,1.87%,depth,benthic,33,24.08,6.78,0.19,0.22,120389,1224,81394
Macrorhamphosus scolopax,longspine snipefish,0.01%,0.03%,0.21%,0.03%,bottom salinity,demersal,27,107.84,14.81,-3.26,-3.06,14258,93,881
Macrouridae,grenadier uncl,3.54%,0.01%,1.29%,0.16%,depth,demersal,31,19.42,31.67,-0.81,-0.60,21632,410,12997
Macrozoarces Americanus,ocean pout,0.62%,1.89%,0.38%,0.69%,bottom temperature,demersal,33,24.94,-27.45,0.27,0.30,124874,5167,29176
Malacoraja senta,smooth skate,5.32%,0.65%,0.68%,2.36%,depth,demersal,33,8.46,-5.26,0.11,0.04,87299,665,36156
Maurolicus weitzmani ,weitzmans pearlsides,0.03%,0.02%,0.15%,0.04%,bottom salinity,pelagic,31,225.65, , , ,64263,4496,4688
Melanogrammus aeglefinus,haddock,0.01%,0.29%,0.00%,1.70%,substrate,demersal,33,58.45,37.10,-0.27,-0.24,15757324,111940,8978205
Melanostigma Atlanticum,Atlantic soft pout,0.22%,0.02%,0.02%,0.24%,substrate,demersal,32,28.14,5.36,-0.25,-0.23,4026,356,170
Menticirrhus Americanus,southern kingfish,0.25%,1.23%,0.15%,0.28%,bottom temperature,demersal,31,93.13,13.79,0.61,0.54,116020,1239,39712
Menticirrhus saxatilis,northern kingfish,0.50%,2.94%,1.02%,0.51%,bottom temperature,demersal,32,151.69,113.56,1.99,2.57,41939,1716,5610
Merluccius albidus,offshore hake,3.84%,0.00%,2.49%,0.28%,depth,demersal,33,57.87,1.37,0.03,0.06,51889,1966,19080
Merluccius bilinearis,silver hake,4.34%,0.19%,2.14%,3.16%,depth,demersal,33,46.12,-4.81,0.29,0.23,29657175,868510,12447445
Micropogonias undulatus,Atlantic croaker,0.46%,3.11%,0.95%,0.51%,bottom temperature,demersal,32,116.47,75.51,0.78,1.17,6574430,154619,823341
Mustelus canis,smooth dogfish,0.01%,0.04%,0.02%,0.02%,bottom temperature,demersal,33,248.77,-4.88,0.51,0.35,156841,33077,12498
Myliobatis freminvillei,bullnose ray,0.31%,1.58%,0.34%,0.37%,bottom temperature,demersal,32,147.56,7.02,1.08,1.11,48613,5403,12026
Myoxocephalus aenaeus,grubby,0.01%,0.01%,0.01%,0.18%,substrate,demersal,29,206.48,7.41,0.37,0.39,7978,71,331
Myoxocephalus octodecemspinosus,longhorn sculpin,0.53%,1.14%,1.06%,2.45%,substrate,demersal,33,55.01,11.76,0.10,0.12,1310936,129105,217571
Myxine glutinosa,Atlantic hagfish,2.10%,0.38%,0.32%,1.59%,depth,demersal,33,13.82,12.68,-0.34,-0.32,4774,238,970
Ophidion marginatum,striped cusk-eel,0.22%,0.80%,0.68%,0.22%,bottom temperature,benthic,30,53.31,-20.55,0.80,0.64,5096,286,1888
Paralichthys dentatus,summer flounder,1.98%,5.15%,0.24%,1.86%,bottom temperature,benthic,33,80.12,-15.18,0.16,0.09,185603,6115,36121
Paralichthys oblongus,fourspot flounder,0.07%,0.20%,1.33%,1.16%,bottom salinity,demersal,33,70.69,0.70,-0.13,-0.10,777215,73123,175360
Parasudis truculenta,longnose greeneye,0.12%,0.00%,0.28%,0.02%,bottom salinity,demersal,25, , , , ,3498,45,2477
Peprilus triacanthus,butterfish,0.02%,0.53%,0.44%,0.67%,substrate,pelagic,33,114.01,-40.63,-3.73,-3.88,18588225,2259647,4560876
Peristedion miniatum,armored searobin,0.33%,0.07%,0.77%,0.26%,bottom salinity,demersal,30,160.4,-17.81,-1.61,-1.59,5052,73,450
Pollachius virens,pollock,0.28%,0.07%,0.05%,0.66%,substrate,demersal,33,5.72,14.71,0.48,0.50,170081,22794,35245
Polymixia lowei,beardfish,0.04%,0.02%,0.18%,0.05%,bottom salinity,demersal,29,111.49,-6.45,-0.04,-0.02,117804,1662,75089
Pomatomus saltatrix,bluefish,0.50%,1.37%,0.13%,0.10%,bottom temperature,pelagic,32,65.04,64.94,0.07,0.18,590757,126685,8331
Prionotus carolinus,northern searobin,0.03%,0.09%,0.08%,0.29%,substrate,demersal,33,193.88,1.54,1.46,1.48,1913644,75176,835533
Prionotus evolans,striped searobin,0.02%,0.16%,0.02%,0.14%,bottom temperature,demersal,33,142.86,29.85,0.60,0.62,180305,8492,16256
Pseudopleuronectes Americanus ,winter flounder,1.52%,0.13%,2.18%,3.01%,substrate,benthic,33,6.86, , , ,1207889,37985,250041
Raja eglanteria,clearnose skate,1.87%,1.88%,0.14%,2.74%,substrate,demersal,32,124.52,-33.09,0.82,0.31,82451,932,27676
Scomber scombrus,Atlantic mackerel,0.18%,0.16%,0.01%,0.14%,depth,pelagic,33,27.97,3.33,0.19,0.12,1012184,20862,597429
Scophthalmus aquosus,windowpane,1.71%,0.25%,2.77%,1.64%,bottom salinity,benthic,33,33.36,25.00,-0.01,0.01,633477,72948,78819
Scyliorhinus retifer,chain dogfish,1.03%,0.45%,4.85%,1.36%,bottom salinity,demersal,33,225.87,64.62,1.63,1.84,58855,96,36454
Sebastes fasciatus,Acadian redfish,2.03%,0.33%,0.28%,1.50%,depth,demersal,33,31.69,-9.88,-0.06,-0.13,6760753,151363,1537154
Sphoeroides maculatus,northern puffer,0.42%,2.43%,1.38%,0.33%,bottom temperature,demersal,32,142.98,92.86,3.36,3.39,33390,4340,11069
Squalus acanthias,spiny dogfish,0.05%,0.00%,0.04%,0.12%,substrate,demersal,33,31.28,34.38,0.36,0.47,12626581,1144442,2790621
Squatina dumeril,Atlantic angel shark,0.18%,1.55%,0.06%,0.61%,bottom temperature,demersal,32,12.05,21.67,-0.10,0.11,908,62,204
Stenotomus chrysops,scup,0.44%,2.19%,0.01%,0.49%,bottom temperature,demersal,33,374.03,-12.00,3.92,3.67,11809719,904901,4392014
Syacium papillosum,dusky flounder,0.01%,0.10%,0.06%,0.03%,bottom temperature,demersal,24,10.74, , , ,1448,61,43
Syngnathus fuscus,northern pipefish,0.03%,0.01%,0.08%,0.01%,bottom salinity,demersal,21, , , , ,2288,20,36
Synodus foetens,inshore lizardfish,0.64%,5.00%,0.47%,0.68%,bottom temperature,demersal,32,16.17,-4.69,-0.05,-0.12,39155,10443,8041
Tautogolabrus adspersus,cunner,0.21%,0.01%,0.29%,1.32%,substrate,demersal,33,100.07,38.81,0.72,0.74,28822,2229,7867
Trachinocephalus myops,snakefish,0.01%,0.18%,0.06%,0.01%,bottom temperature,demersal,31,5.31, , , ,24693,1694,13447
Trachurus lathami,rough scad,0.06%,0.54%,0.00%,0.08%,bottom temperature,pelagic,32,186.82,-15.00,5.08,4.48,45781,6275,527
Trichiurus lepturus,Atlantic cutlassfish,0.03%,0.49%,0.00%,0.06%,bottom temperature,pelagic,31,148.48,20.45,-0.07,0.04,71292,1071,34510
Triglops murrayi,moustache sculpin,0.00%,0.01%,0.01%,0.33%,substrate,demersal,31,13.35,-5.08,0.01,-0.06,56253,30939,5257
Urophycis chesteri,longfin hake,2.37%,0.04%,1.16%,0.22%,depth,demersal,32,150.48,0.00,-0.08,-0.15,17041,2070,5737
Urophycis chuss,red hake,2.95%,0.42%,0.67%,3.22%,substrate,demersal,33,76.49,-1.83,0.37,0.40,2974071,220676,1063065
Urophycis regia,spotted hake,0.04%,0.36%,0.40%,2.01%,substrate,demersal,33,171.54,-10.48,1.81,1.49,2608676,185026,550948
Urophycis tenuis,white hake,4.45%,0.49%,2.70%,2.28%,depth,demersal,33,13.64,-3.30,0.30,0.24,373730,73250,72974
Zenopsis conchifera,buckler dory,0.15%,0.09%,0.75%,0.14%,bottom salinity,pelagic,33,269.53,11.43,2.82,2.76,36402,2748,10391
