SCINAME,SCINAME,years_fall,years_spring,SVSPP,ITISSPP,COMNAME,AUTHOR,order,order_common,type,depth_profile
DICHELOPANDALUS.LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS,27,22,296,97000,BRISTLED LONGBEAK,"(Smith, 1881)",decapods,decapods,invert,pelagic
DIPTURUS.LAEVIS,DIPTURUS LAEVIS,34,32,22,564139,BARNDOOR SKATE,"(Mitchill, 1818)",rajiformes,rays,fish,demersal
ENCHELYOPUS.CIMBRIUS,ENCHELYOPUS CIMBRIUS,34,34,83,164748,FOURBEARD ROCKLING,"(Linnaeus, 1776)",gadiformes,cods and allies,fish,demersal
ETROPUS.MICROSTOMUS,ETROPUS MICROSTOMUS,27,29,117,172730,SMALLMOUTH FLOUNDER,"(Gill, 1864)",pleuronectiformes,flatfishes,fish,benthic
ETRUMEUS.TERES,ETRUMEUS TERES,33,24,31,161743,ROUND HERRING,"(De Kay, 1842)",clupeiformes,herrings and anchovys ,fish,pelagic
FISTULARIA.PETIMBA,FISTULARIA PETIMBA,32,18,489,166417,RED CORNETFISH,"Lacepede, 1803",syngnathiformes,pipefishes and seahorses,fish,demersal
FOETOREPUS.AGASSIZI,FOETOREPUS AGASSIZI,18,17,735,171740,SPOTFIN DRAGONET,"(Goode and Bean, 1888)",perciformes,perch like,fish,benthic
GADUS.MORHUA,GADUS MORHUA,34,34,73,164712,ATLANTIC COD,"Linnaeus, 1758",gadiformes,cods and allies,fish,demersal
GALATHEIDAE,GALATHEIDAE,23,23,319,97964,GALATHEID UNCL,"Samouelle, 1819",decapods,decapods,invert,benthic
GASTEROSTEUS.ACULEATUS,GASTEROSTEUS ACULEATUS,23,19,115,166365,THREESPINE STICKLEBACK,"Linnaeus, 1758",gasterosteiformes,sicklebacks,fish,pelagic
GERYON.QUINQUEDENS,GERYON QUINQUEDENS,34,30,310,98906,RED DEEPSEA CRAB,"Smith, 1879",decapods,decapods,invert,
GLYPTOCEPHALUS.CYNOGLOSSUS,GLYPTOCEPHALUS CYNOGLOSSUS,34,34,107,172873,WITCH FLOUNDER,"(Linnaeus, 1758)",pleuronectiformes,flatfishes,fish,benthic
GYMNURA.ALTAVELA,GYMNURA ALTAVELA,33,27,375,160961,SPINY BUTTERFLY RAY,"(Linnaeus, 1758)",myliobatiformes,rays,fish,demersal
HELICOLENUS.DACTYLOPTERUS,HELICOLENUS DACTYLOPTERUS,34,34,156,166787,BLACKBELLY ROSEFISH,"(Delaroche, 1809)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
HEMITRIPTERUS.AMERICANUS,HEMITRIPTERUS AMERICANUS,34,34,164,167289,SEA RAVEN,"(Gmelin, 1789)",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
HIPPOGLOSSOIDES.PLATESSOIDES,HIPPOGLOSSOIDES PLATESSOIDES,34,34,102,172877,AMERICAN PLAICE,"(Fabricius, 1780)",pleuronectiformes,flatfishes,fish,benthic
